RespId,weight_PID,complete_status,Q1_1,Q1_2,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_7,Q3_8,Q4,Q5,QPID,PPWORKA,ABCAGE,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,ppreg9,pprent,ppstaten,ppemploy,ppt18ov,ppkid017,xspanish,xparty4,xurbanicity,Contact
260840001,.7127,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Disapprove,Approve,Donald Trump,The same as you expected,A Republican,Retired,65+,77,Bachelors degree or higher,Master’s degree or above,"White, Non-Hispanic",Male,2,One-family condo or townhouse attached to other units,"$150,000 or more",Widowed,Metro,West,Pacific,Owned or being bought by you or someone in your household,California,Not working,2,0,English,Independent,Urban,"No, I am not willing to be interviewed"
260840002,.8026,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,The same as you expected,A Republican,Retired,65+,76,High school,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,1,A one-family house detached from any other house,"$50,000 to $74,999",Now Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,Florida,Not working,1,0,English,Republican,Suburban,"No, I am not willing to be interviewed"
260840003,.9083,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Joe Biden,Better than you expected,A Democrat,Employed full-time (by someone else),65+,65,High school,High school graduate (high school diploma or the equivalent GED),"Black, Non-Hispanic",Male,2,A one-family house detached from any other house,"$75,000 to $99,999",Now Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,North Carolina,Working full-time,2,0,English,Democrat,Urban,"No, I am not willing to be interviewed"
260840004,.629,qualified,Favorable,Unfavorable,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Disapprove,Disapprove,Approve,Approve,Disapprove,Disapprove,Joe Biden,"Didn’t read, see, or hear about the State of the Union address",A Democrat,Employed full-time (by someone else),30-49,43,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Female,1,Building with 2 or more apartments,"$25,000 to $49,999",Never married,Metro,South,South Atlantic,Rented for cash,Delaware,Working full-time,1,0,English,Democrat,Suburban,"Yes, I am willing to be interviewed"
260840005,1.5029,qualified,Unfavorable,Favorable,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Donald Trump,"Didn’t read, see, or hear about the State of the Union address",A Republican,Homemaker,30-49,49,Bachelors degree or higher,Bachelor’s degree,Hispanic,Female,6. Six or more,A one-family house detached from any other house,"$150,000 or more",Now Married,Metro,MidWest,West North Central,Owned or being bought by you or someone in your household,Iowa,Not working,3,6,English,Independent,Urban,"Yes, I am willing to be interviewed"
260840006,.7793,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Joe Biden,Better than you expected,A Democrat,Retired,65+,74,Bachelors degree or higher,Master’s degree or above,"Black, Non-Hispanic",Female,2,A one-family house detached from any other house,"$150,000 or more",Widowed,Metro,South,East South Central,Owned or being bought by you or someone in your household,Tennessee,Not working,2,0,English,Democrat,Urban,"No, I am not willing to be interviewed"
260840007,.8974,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Joe Biden,Better than you expected,An independent,Retired,65+,74,Bachelors degree or higher,Master’s degree or above,"White, Non-Hispanic",Male,2,A one-family house detached from any other house,"$100,000 to $149,999",Widowed,Metro,West,Pacific,Owned or being bought by you or someone in your household,California,Not working,2,0,English,Democrat,Urban,"Yes, I am willing to be interviewed"
260840008,.9097,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,The same as you expected,An independent,Employed full-time (by someone else),50-64,61,Bachelors degree or higher,Master’s degree or above,"White, Non-Hispanic",Male,4,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Metro,NorthEast,Middle Atlantic,Owned or being bought by you or someone in your household,New York,Working full-time,4,0,English,Independent,Urban,"Yes, I am willing to be interviewed"
260840009,.8157,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Approve,Approve,Donald Trump,The same as you expected,An independent,Retired,65+,71,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,A one-family house detached from any other house,"$25,000 to $49,999",Now Married,Metro,South,West South Central,Owned or being bought by you or someone in your household,Louisiana,Working part-time,2,0,English,Republican,Suburban,"No, I am not willing to be interviewed"
260840010,.7206,qualified,Unfavorable,Unfavorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Neither,"Didn’t read, see, or hear about the State of the Union address",A Democrat,Employed full-time (by someone else),30-49,32,Bachelors degree or higher,Master’s degree or above,"White, Non-Hispanic",Female,2,A one-family house detached from any other house,"$100,000 to $149,999",Never married,Metro,NorthEast,Middle Atlantic,Owned or being bought by you or someone in your household,Pennsylvania,Working full-time,2,0,English,Democrat,Urban,"Yes, I am willing to be interviewed"
